initialPart backgroundSubtraction averageBackgroundUpdate thresholding blobdetection nrOfBlobs blobArea centroidX controidY
0 0 0 1 7 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 1 1 1 8 0 NULL NULL NULL
0 0 1 1 9 0 NULL NULL NULL
0 0 0 0 7 0 NULL NULL NULL
1 1 1 1 7 0 NULL NULL NULL
0 1 1 1 6 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 1 1 6 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 0 1 9 0 NULL NULL NULL
0 0 0 0 7 0 NULL NULL NULL
0 0 0 0 7 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
1 1 1 1 8 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 0 0 7 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 0 0 1 8 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 0 0 5 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 1 1 6 0 NULL NULL NULL
0 0 0 0 8 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
1 1 1 1 7 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 0 0 2 9 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 1 1 1 6 0 NULL NULL NULL
0 0 0 1 5 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 1 1 1 6 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 0 0 8 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 0 1 8 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 1 1 6 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
1 1 1 2 7 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 1 1 1 8 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 1 1 2 8 0 NULL NULL NULL
0 0 0 1 8 0 NULL NULL NULL
1 1 1 1 7 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 0 0 0 8 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 1 1 1 9 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 1 1 1 8 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
