initialPart backgroundSubtraction averageBackgroundUpdate thresholding blobdetection nrOfBlobs blobArea centroidX controidY
12 323 491 535 545 1 4 79.500000 392.500000
9 317 481 524 534 1 3 94.666664 397.666656
14 325 490 532 542 0 NULL NULL NULL
9 318 485 529 539 0 NULL NULL NULL
16 327 492 534 544 0 NULL NULL NULL
11 325 495 538 548 1 3 14.666667 410.333344
8 318 483 526 535 1 37 477.592590 459.925934
13 329 495 538 549 1 37 12.290780 409.666656
8 321 485 528 539 1 99 11.441270 404.520630
15 327 493 537 546 1 5 484.866669 397.866669
11 327 494 536 545 1 4 503.500000 406.500000
8 320 485 527 537 0 NULL NULL NULL
12 321 487 530 540 0 NULL NULL NULL
9 320 488 530 541 0 NULL NULL NULL
14 321 487 530 540 0 NULL NULL NULL
9 319 483 525 535 0 NULL NULL NULL
16 340 508 551 560 1 4 346.500000 458.500000
13 322 487 531 540 1 3 346.333344 458.666656
8 322 489 533 542 0 NULL NULL NULL
14 326 494 538 549 0 NULL NULL NULL
11 323 491 534 544 0 NULL NULL NULL
16 326 490 534 544 0 NULL NULL NULL
12 322 487 531 539 1 3 247.666672 467.333344
9 319 484 527 539 1 3 247.666672 467.333344
13 323 487 530 540 0 NULL NULL NULL
9 317 481 525 535 0 NULL NULL NULL
15 329 494 536 546 0 NULL NULL NULL
11 319 483 526 537 0 NULL NULL NULL
16 326 490 533 543 1 9 41.333332 408.939392
12 327 494 536 546 1 9 41.333332 408.939392
9 316 481 523 534 1 8 361.777771 446.000000
15 327 493 535 546 1 5 372.222229 447.444458
10 321 488 532 542 1 12 373.222229 448.500000
16 326 490 533 544 1 9 373.222229 449.777771
12 319 484 528 538 0 NULL NULL NULL
10 321 488 532 542 0 NULL NULL NULL
12 321 485 528 538 0 NULL NULL NULL
10 319 483 527 537 0 NULL NULL NULL
14 325 490 534 542 1 65 174.218384 472.402313
10 322 485 528 540 1 105 15.190124 407.402466
40 351 516 558 569 1 65 174.449738 471.719574
20 330 496 540 548 0 NULL NULL NULL
15 330 494 537 545 0 NULL NULL NULL
19 328 492 535 543 0 NULL NULL NULL
11 321 485 528 538 1 6 241.000000 432.500000
11 326 493 537 548 1 43 178.030304 473.333344
21 331 495 538 548 1 23 12.801418 407.113464
14 325 489 532 541 0 NULL NULL NULL
16 321 487 530 540 0 NULL NULL NULL
11 324 489 532 542 1 11 40.333332 412.824554
11 320 484 528 538 1 11 40.098038 412.803925
16 327 493 537 545 1 9 196.666672 396.743591
17 328 493 535 545 1 26 15.107142 409.107147
9 316 478 520 531 1 68 173.369568 471.181152
13 327 492 536 544 0 NULL NULL NULL
10 326 493 536 545 1 7 77.555557 383.777771
16 327 493 538 549 1 7 77.555557 383.777771
17 333 500 544 554 1 4 92.500000 396.500000
initialPart backgroundSubtraction averageBackgroundUpdate thresholding blobdetection nrOfBlobs blobArea centroidX controidY
2 316 482 525 534 0 NULL NULL NULL
33 367 541 590 600 1 53 270.459961 330.599640
20 341 507 552 563 1 46 318.906036 372.959229
13 334 510 557 566 1 52 234.906250 332.706604
11 330 502 546 555 1 102 192.520828 318.265625
11 323 488 532 543 1 39 305.437073 274.891846
13 327 494 537 548 1 45 271.104034 331.297241
14 327 495 539 550 1 59 369.095795 360.930145
10 326 495 539 550 1 101 397.856293 365.491028
13 341 513 557 566 1 45 446.246490 300.170868
17 334 504 548 558 1 107 352.056091 253.468643
11 333 503 548 559 1 82 336.984863 241.090912
9 325 496 540 549 1 94 336.950012 241.391663
18 341 513 560 569 1 27 300.487183 241.589737
11 332 505 551 561 1 73 290.214600 286.497711
9 340 509 554 563 1 34 264.490479 260.966675
7 326 502 546 556 1 21 237.432098 228.567902
13 322 487 530 539 0 NULL NULL NULL
11 321 488 530 538 0 NULL NULL NULL
15 322 484 527 536 0 NULL NULL NULL
10 330 501 550 560 0 NULL NULL NULL
9 332 510 554 565 0 NULL NULL NULL
17 338 511 556 565 0 NULL NULL NULL
14 331 500 544 554 0 NULL NULL NULL
12 333 506 551 560 0 NULL NULL NULL
11 332 502 573 581 0 NULL NULL NULL
8 324 492 535 545 0 NULL NULL NULL
13 329 492 537 548 0 NULL NULL NULL
11 323 489 532 542 0 NULL NULL NULL
15 329 496 539 549 0 NULL NULL NULL
14 331 500 543 552 0 NULL NULL NULL
8 326 500 544 551 0 NULL NULL NULL
13 330 503 547 556 0 NULL NULL NULL
12 330 504 548 557 0 NULL NULL NULL
11 331 502 547 556 1 16 210.500000 65.000000
17 334 503 546 556 1 3 316.333344 192.333328
14 331 503 550 559 1 3 316.333344 192.333328
10 325 495 539 549 0 NULL NULL NULL
16 340 508 552 561 0 NULL NULL NULL
15 336 508 552 561 0 NULL NULL NULL
14 332 497 539 548 0 NULL NULL NULL
11 323 489 532 542 0 NULL NULL NULL
14 329 495 538 549 0 NULL NULL NULL
15 328 495 538 549 0 NULL NULL NULL
8 321 489 533 543 0 NULL NULL NULL
12 331 495 539 549 0 NULL NULL NULL
11 318 479 521 531 1 26 633.805542 356.611115
13 325 496 540 549 0 NULL NULL NULL
13 332 502 548 557 1 14 631.625000 360.416656
10 342 511 554 563 0 NULL NULL NULL
16 334 506 549 558 0 NULL NULL NULL
15 326 490 532 542 0 NULL NULL NULL
27 341 510 553 562 0 NULL NULL NULL
16 330 499 543 553 0 NULL NULL NULL
initialPart backgroundSubtraction averageBackgroundUpdate thresholding blobdetection nrOfBlobs blobArea centroidX controidY
3 307 471 514 535 0 NULL NULL NULL
35 348 514 557 568 1 49 271.371246 330.846313
15 330 500 543 554 1 53 188.048355 364.057007
7 325 494 537 545 1 89 265.620422 309.639679
18 339 511 558 573 1 59 377.146210 454.054596
11 334 506 551 563 1 63 397.007629 441.379059
11 333 505 552 562 1 59 375.658173 254.169846
11 351 519 576 587 1 56 368.617523 359.991455
9 324 488 532 543 1 72 533.702393 282.619049
20 334 501 544 555 1 45 384.469482 371.507050
9 320 485 528 538 1 91 442.815857 272.659668
15 331 498 542 553 1 80 337.884247 238.587967
12 336 511 556 565 1 26 344.083344 265.000000
10 334 504 550 559 1 25 630.814819 373.814819
15 335 509 553 562 1 25 282.872742 223.878784
14 337 509 553 564 1 29 257.329681 268.230774
11 334 510 554 563 1 29 239.827164 225.934158
14 330 498 541 552 0 NULL NULL NULL
8 320 487 530 539 0 NULL NULL NULL
13 327 496 539 548 0 NULL NULL NULL
10 319 485 527 536 0 NULL NULL NULL
15 330 496 540 549 0 NULL NULL NULL
12 317 480 522 531 0 NULL NULL NULL
16 330 503 549 557 0 NULL NULL NULL
14 339 508 552 561 0 NULL NULL NULL
11 330 499 544 553 0 NULL NULL NULL
7 326 499 545 555 0 NULL NULL NULL
14 342 514 559 574 0 NULL NULL NULL
15 342 511 554 562 0 NULL NULL NULL
14 325 492 535 544 0 NULL NULL NULL
16 321 485 528 539 0 NULL NULL NULL
11 324 489 531 542 0 NULL NULL NULL
8 318 511 555 565 0 NULL NULL NULL
15 331 500 544 553 0 NULL NULL NULL
12 334 504 549 558 0 NULL NULL NULL
12 334 503 547 556 0 NULL NULL NULL
8 329 499 543 553 0 NULL NULL NULL
14 332 504 548 558 0 NULL NULL NULL
11 335 504 549 557 0 NULL NULL NULL
10 330 502 546 555 0 NULL NULL NULL
16 335 504 548 557 0 NULL NULL NULL
25 341 507 550 561 0 NULL NULL NULL
10 323 489 533 544 0 NULL NULL NULL
16 330 499 543 553 0 NULL NULL NULL
15 329 496 539 548 0 NULL NULL NULL
10 324 491 535 544 0 NULL NULL NULL
16 332 502 546 555 0 NULL NULL NULL
14 333 503 548 558 0 NULL NULL NULL
11 326 495 539 549 0 NULL NULL NULL
16 334 503 546 555 0 NULL NULL NULL
13 335 505 549 559 0 NULL NULL NULL
11 329 497 541 549 0 NULL NULL NULL
16 333 501 545 554 0 NULL NULL NULL
15 341 514 560 570 0 NULL NULL NULL
12 334 505 549 561 0 NULL NULL NULL
23 343 510 554 563 0 NULL NULL NULL
10 321 486 529 538 1 159 214.133957 434.859802
15 323 489 532 546 1 36 373.500000 59.500000
14 351 519 563 571 0 NULL NULL NULL
11 330 500 545 559 0 NULL NULL NULL
11 334 510 555 570 0 NULL NULL NULL
19 345 513 561 571 0 NULL NULL NULL
15 335 511 582 592 0 NULL NULL NULL
16 332 499 544 554 0 NULL NULL NULL
13 327 496 540 548 0 NULL NULL NULL
10 325 491 535 544 0 NULL NULL NULL
14 329 500 545 555 0 NULL NULL NULL
11 326 499 545 554 0 NULL NULL NULL
9 330 501 545 556 0 NULL NULL NULL
16 335 506 550 564 0 NULL NULL NULL
15 335 504 548 558 0 NULL NULL NULL
11 332 501 545 553 0 NULL NULL NULL
16 328 496 540 548 0 NULL NULL NULL
14 327 494 537 546 1 17 224.484848 76.757576
11 322 488 531 542 0 NULL NULL NULL
16 330 496 552 560 0 NULL NULL NULL
14 328 495 541 550 0 NULL NULL NULL
9 332 504 549 560 0 NULL NULL NULL
17 341 510 554 565 0 NULL NULL NULL
17 343 514 559 570 0 NULL NULL NULL
12 330 504 550 567 1 29 270.542786 330.722717
19 337 502 545 554 0 NULL NULL NULL
14 327 493 536 545 0 NULL NULL NULL
10 323 490 533 544 0 NULL NULL NULL
16 332 500 545 553 0 NULL NULL NULL
14 339 514 558 569 0 NULL NULL NULL
14 335 509 554 566 0 NULL NULL NULL
10 329 502 545 557 0 NULL NULL NULL
16 336 508 552 561 0 NULL NULL NULL
15 339 516 560 569 0 NULL NULL NULL
16 333 501 545 555 0 NULL NULL NULL
12 328 495 538 546 0 NULL NULL NULL
16 330 498 541 551 0 NULL NULL NULL
12 325 491 543 554 0 NULL NULL NULL
10 325 493 537 550 0 NULL NULL NULL
15 332 504 549 560 0 NULL NULL NULL
15 338 516 561 574 0 NULL NULL NULL
12 332 506 550 561 0 NULL NULL NULL
12 332 502 547 556 0 NULL NULL NULL
17 334 504 556 564 0 NULL NULL NULL
18 332 499 542 552 0 NULL NULL NULL
14 327 492 535 545 0 NULL NULL NULL
16 329 493 536 546 0 NULL NULL NULL
14 336 508 552 564 0 NULL NULL NULL
12 326 498 543 568 1 40 624.043579 303.348480
14 349 521 568 576 0 NULL NULL NULL
16 343 517 566 574 0 NULL NULL NULL
9 331 502 546 554 0 NULL NULL NULL
14 330 497 541 550 0 NULL NULL NULL
12 327 495 538 548 0 NULL NULL NULL
11 322 487 531 541 0 NULL NULL NULL
15 331 520 565 575 0 NULL NULL NULL
14 333 499 541 554 0 NULL NULL NULL
11 331 496 542 551 0 NULL NULL NULL
16 340 515 562 570 0 NULL NULL NULL
17 337 508 552 564 0 NULL NULL NULL
15 328 496 540 555 0 NULL NULL NULL
11 335 505 551 560 0 NULL NULL NULL
18 333 501 544 554 0 NULL NULL NULL
12 328 495 538 548 0 NULL NULL NULL
14 325 494 539 549 0 NULL NULL NULL
17 327 497 541 551 0 NULL NULL NULL
15 328 496 542 551 0 NULL NULL NULL
11 334 507 553 562 0 NULL NULL NULL
18 344 517 563 571 0 NULL NULL NULL
22 346 516 562 573 1 6 630.666687 368.666656
18 334 499 542 551 0 NULL NULL NULL
20 336 503 547 556 1 6 625.000000 371.500000
10 322 488 531 540 1 10 630.000000 365.500000
12 325 492 535 546 0 NULL NULL NULL
13 326 492 536 546 0 NULL NULL NULL
initialPart backgroundSubtraction averageBackgroundUpdate thresholding blobdetection nrOfBlobs blobArea centroidX controidY
1 315 482 526 536 0 NULL NULL NULL
38 356 523 566 576 0 NULL NULL NULL
14 328 497 542 552 0 NULL NULL NULL
9 324 494 538 548 0 NULL NULL NULL
14 336 512 557 568 0 NULL NULL NULL
14 339 515 562 572 0 NULL NULL NULL
15 334 506 553 564 1 10 215.800003 353.799988
10 332 504 549 559 1 7 304.904755 359.095245
15 336 505 549 559 1 7 317.190491 363.714294
16 333 501 544 555 0 NULL NULL NULL
11 326 494 538 549 0 NULL NULL NULL
19 334 501 545 553 1 18 91.800003 424.700012
15 329 499 543 552 1 18 219.149994 340.450012
21 337 508 553 564 1 16 218.933334 340.322235
10 332 504 549 557 1 6 254.000000 337.000000
20 339 512 557 568 0 NULL NULL NULL
16 340 512 558 569 0 NULL NULL NULL
14 336 508 552 561 1 15 172.487183 421.948730
11 336 507 551 561 1 13 289.888885 374.666656
17 333 503 545 557 1 12 325.222229 371.000000
17 331 498 542 554 0 NULL NULL NULL
14 326 494 537 547 0 NULL NULL NULL
19 339 512 556 564 0 NULL NULL NULL
16 358 529 573 584 0 NULL NULL NULL
14 336 508 552 562 0 NULL NULL NULL
13 335 508 554 562 0 NULL NULL NULL
13 334 507 552 563 0 NULL NULL NULL
21 339 507 550 559 1 3 523.333313 381.333344
16 330 501 545 555 0 NULL NULL NULL
12 324 492 535 545 0 NULL NULL NULL
20 340 511 555 565 1 6 320.666656 371.000000
21 341 511 555 566 1 9 317.190491 363.714294
17 330 510 552 561 1 5 327.333344 354.333344
11 324 491 535 546 1 6 343.000000 348.500000
18 332 499 543 553 0 NULL NULL NULL
13 328 495 538 549 0 NULL NULL NULL
18 332 500 544 554 0 NULL NULL NULL
19 338 507 551 560 0 NULL NULL NULL
16 336 505 549 558 0 NULL NULL NULL
14 330 497 541 550 0 NULL NULL NULL
11 330 500 544 552 0 NULL NULL NULL
17 334 502 546 557 0 NULL NULL NULL
12 328 496 540 552 0 NULL NULL NULL
16 333 500 544 555 0 NULL NULL NULL
18 337 505 549 560 0 NULL NULL NULL
14 332 500 544 552 0 NULL NULL NULL
13 331 501 546 556 0 NULL NULL NULL
19 336 504 548 559 0 NULL NULL NULL
17 332 503 546 557 1 10 62.500000 427.500000
14 332 498 541 551 1 9 211.794876 423.410248
12 330 502 546 555 1 8 211.666672 423.416656
17 326 491 535 544 1 9 258.259247 414.185181
20 357 527 571 581 0 NULL NULL NULL
39 356 527 572 583 0 NULL NULL NULL
11 326 496 542 553 0 NULL NULL NULL
15 335 507 552 560 1 13 249.880005 336.413330
17 335 506 551 565 0 NULL NULL NULL
10 328 501 547 558 0 NULL NULL NULL
7 329 505 550 560 0 NULL NULL NULL
15 332 499 544 553 0 NULL NULL NULL
12 328 498 541 552 1 10 190.000000 357.500000
11 328 496 539 549 1 9 293.606049 358.939392
initialPart backgroundSubtraction averageBackgroundUpdate thresholding blobdetection nrOfBlobs blobArea centroidX controidY
4 318 485 528 538 0 NULL NULL NULL
34 347 515 558 569 0 NULL NULL NULL
24 336 505 549 559 0 NULL NULL NULL
11 325 494 538 546 0 NULL NULL NULL
10 325 498 546 556 0 NULL NULL NULL
17 332 499 543 552 0 NULL NULL NULL
8 317 486 530 540 0 NULL NULL NULL
10 321 489 534 544 0 NULL NULL NULL
9 320 488 531 542 0 NULL NULL NULL
8 319 487 533 544 0 NULL NULL NULL
7 325 496 539 547 0 NULL NULL NULL
15 329 497 541 552 0 NULL NULL NULL
11 319 484 527 536 0 NULL NULL NULL
10 323 495 538 547 0 NULL NULL NULL
7 318 486 529 538 0 NULL NULL NULL
12 322 489 533 545 0 NULL NULL NULL
11 322 493 539 548 0 NULL NULL NULL
9 322 491 535 544 0 NULL NULL NULL
6 318 486 529 540 0 NULL NULL NULL
9 320 490 533 543 0 NULL NULL NULL
8 322 490 533 544 0 NULL NULL NULL
12 317 486 540 550 0 NULL NULL NULL
12 326 494 537 548 0 NULL NULL NULL
9 324 492 536 546 0 NULL NULL NULL
13 324 491 535 545 0 NULL NULL NULL
10 320 487 531 542 0 NULL NULL NULL
11 321 489 533 544 0 NULL NULL NULL
10 319 487 530 541 0 NULL NULL NULL
11 328 495 539 549 0 NULL NULL NULL
12 324 491 536 545 0 NULL NULL NULL
9 322 490 533 545 0 NULL NULL NULL
7 319 487 530 541 0 NULL NULL NULL
9 320 488 531 542 0 NULL NULL NULL
10 320 489 532 543 0 NULL NULL NULL
11 323 492 537 566 0 NULL NULL NULL
16 334 504 547 556 0 NULL NULL NULL
6 319 487 531 541 0 NULL NULL NULL
8 315 479 522 531 0 NULL NULL NULL
5 317 485 528 539 0 NULL NULL NULL
7 322 489 533 542 0 NULL NULL NULL
7 321 491 535 545 0 NULL NULL NULL
13 325 492 535 546 0 NULL NULL NULL
10 321 490 533 542 0 NULL NULL NULL
10 326 495 539 550 0 NULL NULL NULL
10 320 488 532 542 0 NULL NULL NULL
9 322 490 533 543 0 NULL NULL NULL
9 321 490 533 544 0 NULL NULL NULL
10 324 492 536 546 0 NULL NULL NULL
13 325 492 535 546 0 NULL NULL NULL
10 319 488 531 542 0 NULL NULL NULL
22 340 506 549 560 0 NULL NULL NULL
18 328 495 538 549 0 NULL NULL NULL
11 320 486 529 538 0 NULL NULL NULL
26 334 501 544 555 0 NULL NULL NULL
22 333 500 543 554 0 NULL NULL NULL
8 318 486 530 540 0 NULL NULL NULL
11 324 494 537 546 0 NULL NULL NULL
6 317 486 529 538 0 NULL NULL NULL
11 325 492 536 547 0 NULL NULL NULL
9 328 495 539 548 0 NULL NULL NULL
10 322 493 536 547 0 NULL NULL NULL
6 318 485 528 538 0 NULL NULL NULL
10 319 487 530 541 0 NULL NULL NULL
11 321 488 532 542 0 NULL NULL NULL
13 325 494 537 549 0 NULL NULL NULL
12 324 492 536 545 0 NULL NULL NULL
10 322 489 533 543 0 NULL NULL NULL
10 322 490 534 545 0 NULL NULL NULL
4 319 488 532 543 0 NULL NULL NULL
initialPart backgroundSubtraction averageBackgroundUpdate thresholding blobdetection nrOfBlobs blobArea centroidX controidY
4 313 477 520 529 0 NULL NULL NULL
38 350 518 562 572 0 NULL NULL NULL
11 323 490 534 545 0 NULL NULL NULL
9 320 488 532 542 0 NULL NULL NULL
15 329 495 539 549 0 NULL NULL NULL
8 332 513 557 565 0 NULL NULL NULL
10 328 496 540 551 0 NULL NULL NULL
11 323 490 533 541 0 NULL NULL NULL
12 322 489 533 544 0 NULL NULL NULL
12 323 505 549 560 0 NULL NULL NULL
22 337 506 550 561 0 NULL NULL NULL
10 320 486 530 540 0 NULL NULL NULL
11 320 488 531 542 0 NULL NULL NULL
11 321 488 531 542 0 NULL NULL NULL
12 322 488 535 544 0 NULL NULL NULL
21 327 491 534 572 0 NULL NULL NULL
5 315 484 527 536 0 NULL NULL NULL
11 321 487 531 541 0 NULL NULL NULL
12 321 488 532 541 0 NULL NULL NULL
8 318 485 529 539 0 NULL NULL NULL
11 322 489 533 544 0 NULL NULL NULL
10 320 489 536 547 0 NULL NULL NULL
15 328 495 539 550 0 NULL NULL NULL
15 332 503 547 557 0 NULL NULL NULL
7 320 486 529 540 0 NULL NULL NULL
14 325 495 538 548 0 NULL NULL NULL
14 324 493 536 547 0 NULL NULL NULL
11 323 490 534 544 0 NULL NULL NULL
8 324 492 536 546 0 NULL NULL NULL
11 320 488 531 541 0 NULL NULL NULL
7 317 485 529 538 0 NULL NULL NULL
12 323 490 535 546 0 NULL NULL NULL
18 335 506 550 558 0 NULL NULL NULL
11 325 493 536 547 0 NULL NULL NULL
9 322 489 533 542 0 NULL NULL NULL
11 325 491 534 545 0 NULL NULL NULL
6 319 486 530 541 0 NULL NULL NULL
8 319 486 529 538 0 NULL NULL NULL
12 321 488 532 542 0 NULL NULL NULL
6 318 486 529 539 0 NULL NULL NULL
9 320 488 531 542 0 NULL NULL NULL
18 328 495 539 548 0 NULL NULL NULL
5 315 481 524 535 0 NULL NULL NULL
13 324 491 535 545 0 NULL NULL NULL
11 322 489 532 542 0 NULL NULL NULL
10 328 499 543 552 0 NULL NULL NULL
10 324 493 536 547 0 NULL NULL NULL
12 327 496 540 551 0 NULL NULL NULL
10 323 489 532 544 0 NULL NULL NULL
9 320 487 531 541 0 NULL NULL NULL
11 321 489 533 543 0 NULL NULL NULL
11 321 487 530 541 0 NULL NULL NULL
10 321 489 533 542 0 NULL NULL NULL
29 342 532 576 586 0 NULL NULL NULL
12 325 492 536 546 0 NULL NULL NULL
8 318 485 529 539 0 NULL NULL NULL
11 322 489 533 544 0 NULL NULL NULL
10 322 489 533 544 0 NULL NULL NULL
12 325 492 535 546 0 NULL NULL NULL
6 315 482 525 536 0 NULL NULL NULL
5 316 484 528 537 0 NULL NULL NULL
8 319 488 532 543 0 NULL NULL NULL
8 317 483 526 536 0 NULL NULL NULL
8 321 489 532 543 0 NULL NULL NULL
7 319 487 530 541 0 NULL NULL NULL
9 320 487 531 541 0 NULL NULL NULL
21 331 498 541 552 0 NULL NULL NULL
7 318 484 528 538 0 NULL NULL NULL
5 313 480 523 533 0 NULL NULL NULL
5 316 482 525 536 0 NULL NULL NULL
14 326 493 537 547 0 NULL NULL NULL
6 316 483 526 537 0 NULL NULL NULL
6 316 483 527 537 0 NULL NULL NULL
10 323 487 530 540 0 NULL NULL NULL
13 319 484 527 538 0 NULL NULL NULL
8 320 488 532 542 0 NULL NULL NULL
10 323 490 534 544 0 NULL NULL NULL
9 318 485 528 539 0 NULL NULL NULL
12 323 490 534 545 0 NULL NULL NULL
10 319 487 530 541 0 NULL NULL NULL
12 322 490 534 545 0 NULL NULL NULL
9 322 489 533 543 0 NULL NULL NULL
12 326 500 545 555 0 NULL NULL NULL
8 323 490 533 543 0 NULL NULL NULL
5 316 483 527 538 0 NULL NULL NULL
11 323 492 535 546 0 NULL NULL NULL
8 320 490 533 544 0 NULL NULL NULL
7 318 486 529 540 0 NULL NULL NULL
10 319 487 530 541 0 NULL NULL NULL
11 322 489 533 544 0 NULL NULL NULL
10 320 487 530 541 0 NULL NULL NULL
12 327 495 538 549 0 NULL NULL NULL
7 320 487 530 541 0 NULL NULL NULL
16 327 494 537 548 0 NULL NULL NULL
13 326 492 536 545 0 NULL NULL NULL
8 318 485 529 540 0 NULL NULL NULL
11 322 490 534 546 0 NULL NULL NULL
8 319 487 530 541 0 NULL NULL NULL
10 323 490 533 544 0 NULL NULL NULL
8 319 486 529 540 0 NULL NULL NULL
5 313 480 524 534 0 NULL NULL NULL
5 316 484 528 538 0 NULL NULL NULL
6 321 492 537 548 0 NULL NULL NULL
11 322 492 535 546 0 NULL NULL NULL
8 325 494 537 548 0 NULL NULL NULL
10 323 490 537 547 0 NULL NULL NULL
16 328 495 539 548 0 NULL NULL NULL
10 323 492 536 547 0 NULL NULL NULL
7 324 496 543 554 0 NULL NULL NULL
4 334 506 550 559 0 NULL NULL NULL
16 328 497 541 549 0 NULL NULL NULL
4 318 488 531 540 0 NULL NULL NULL
5 319 488 531 542 0 NULL NULL NULL
5 315 483 526 537 0 NULL NULL NULL
11 325 499 543 553 0 NULL NULL NULL
13 324 492 535 546 0 NULL NULL NULL
initialPart backgroundSubtraction averageBackgroundUpdate thresholding blobdetection nrOfBlobs blobArea centroidX controidY
4 316 481 526 537 0 NULL NULL NULL
35 349 517 560 571 0 NULL NULL NULL
20 331 497 540 551 0 NULL NULL NULL
12 323 495 539 547 0 NULL NULL NULL
8 319 485 529 539 0 NULL NULL NULL
12 325 493 537 547 0 NULL NULL NULL
7 314 481 525 537 0 NULL NULL NULL
21 333 500 544 554 0 NULL NULL NULL
8 319 487 530 541 0 NULL NULL NULL
10 323 492 536 546 0 NULL NULL NULL
7 316 484 528 539 0 NULL NULL NULL
14 326 494 538 546 0 NULL NULL NULL
7 318 485 529 540 1 5 170.777771 350.555542
10 318 486 529 540 0 NULL NULL NULL
5 315 484 527 537 0 NULL NULL NULL
20 331 497 540 551 0 NULL NULL NULL
9 319 486 529 540 0 NULL NULL NULL
12 321 488 532 542 0 NULL NULL NULL
12 325 492 535 544 1 9 189.761902 357.523804
11 320 488 533 543 0 NULL NULL NULL
10 325 493 537 548 0 NULL NULL NULL
13 322 490 533 544 0 NULL NULL NULL
12 323 490 533 543 0 NULL NULL NULL
25 338 507 551 561 0 NULL NULL NULL
9 317 482 525 536 0 NULL NULL NULL
7 319 488 532 541 0 NULL NULL NULL
9 318 482 525 536 0 NULL NULL NULL
8 316 480 524 533 0 NULL NULL NULL
8 319 487 530 539 0 NULL NULL NULL
11 323 490 534 544 0 NULL NULL NULL
11 321 487 530 541 1 11 201.844452 357.111115
10 322 490 534 543 0 NULL NULL NULL
11 321 488 531 542 0 NULL NULL NULL
10 322 490 533 544 0 NULL NULL NULL
9 321 488 534 545 0 NULL NULL NULL
9 321 488 532 543 0 NULL NULL NULL
6 319 483 526 535 1 12 202.041672 357.062500
13 318 485 530 539 0 NULL NULL NULL
8 321 487 531 542 0 NULL NULL NULL
10 319 485 529 539 0 NULL NULL NULL
13 325 494 538 547 0 NULL NULL NULL
9 316 482 525 536 0 NULL NULL NULL
7 319 485 528 539 1 8 227.500000 354.000000
10 321 490 532 542 0 NULL NULL NULL
13 325 491 535 545 0 NULL NULL NULL
10 321 488 531 542 0 NULL NULL NULL
10 321 488 531 542 0 NULL NULL NULL
15 328 495 538 547 0 NULL NULL NULL
9 320 487 531 542 1 8 227.500000 354.000000
6 314 480 523 533 0 NULL NULL NULL
8 317 483 526 536 0 NULL NULL NULL
14 320 484 527 538 0 NULL NULL NULL
11 317 482 524 533 0 NULL NULL NULL
13 320 486 529 537 0 NULL NULL NULL
28 342 510 552 564 1 11 250.888885 353.492065
5 308 470 511 520 0 NULL NULL NULL
10 317 482 525 536 0 NULL NULL NULL
18 323 489 532 543 0 NULL NULL NULL
10 320 487 530 539 0 NULL NULL NULL
17 327 492 535 543 0 NULL NULL NULL
13 316 478 520 529 1 11 261.017548 355.561401
8 314 479 522 534 0 NULL NULL NULL
18 325 489 533 544 0 NULL NULL NULL
9 315 480 522 532 0 NULL NULL NULL
9 317 485 530 540 0 NULL NULL NULL
11 317 479 523 533 0 NULL NULL NULL
6 316 482 525 536 1 12 260.777771 355.370361
12 325 489 532 541 0 NULL NULL NULL
6 313 478 520 531 0 NULL NULL NULL
9 315 484 528 538 0 NULL NULL NULL
6 318 482 525 534 0 NULL NULL NULL
11 319 486 529 537 0 NULL NULL NULL
12 314 477 521 531 0 NULL NULL NULL
7 314 475 517 525 0 NULL NULL NULL
8 317 483 526 536 0 NULL NULL NULL
6 315 481 524 534 0 NULL NULL NULL
7 315 482 526 535 0 NULL NULL NULL
12 322 485 527 538 0 NULL NULL NULL
8 309 472 513 524 1 12 279.299988 354.416656
9 317 483 526 534 0 NULL NULL NULL
10 317 483 525 535 0 NULL NULL NULL
9 318 484 527 537 0 NULL NULL NULL
6 316 483 525 534 0 NULL NULL NULL
8 313 474 517 525 0 NULL NULL NULL
7 313 478 521 531 1 11 293.244446 358.422211
10 317 486 530 540 0 NULL NULL NULL
13 316 478 520 530 0 NULL NULL NULL
9 315 481 524 534 0 NULL NULL NULL
7 315 479 522 532 0 NULL NULL NULL
11 319 485 527 538 1 10 293.416656 358.583344
7 313 478 521 532 0 NULL NULL NULL
10 318 483 525 535 0 NULL NULL NULL
7 315 481 524 535 0 NULL NULL NULL
12 322 490 534 546 0 NULL NULL NULL
5 312 479 522 533 0 NULL NULL NULL
11 324 490 533 544 1 6 305.000000 359.000000
4 312 477 521 531 0 NULL NULL NULL
6 314 483 526 536 0 NULL NULL NULL
13 325 493 537 546 0 NULL NULL NULL
9 321 487 530 539 0 NULL NULL NULL
6 316 482 525 535 0 NULL NULL NULL
25 335 507 552 561 1 6 313.000000 362.333344
5 321 493 537 548 0 NULL NULL NULL
6 314 483 527 537 0 NULL NULL NULL
13 322 489 533 541 0 NULL NULL NULL
14 325 493 536 547 0 NULL NULL NULL
11 322 489 532 542 0 NULL NULL NULL
14 328 495 538 550 0 NULL NULL NULL
11 322 489 532 543 0 NULL NULL NULL
11 319 486 529 539 0 NULL NULL NULL
9 316 480 523 531 0 NULL NULL NULL
11 319 486 530 540 0 NULL NULL NULL
8 318 485 528 538 0 NULL NULL NULL
20 329 494 538 549 1 6 316.500000 362.500000
5 325 491 534 544 0 NULL NULL NULL
11 320 487 530 541 0 NULL NULL NULL
6 320 486 530 540 0 NULL NULL NULL
9 317 483 527 537 0 NULL NULL NULL
16 334 507 551 561 0 NULL NULL NULL
